palavra,quantidade
Brasil,36
brasileiro,21
querer,18
fazer,16
PT,14
Lula,14
saber,14
pessoa,14
todo,13
educação,13
político,13
todos,12
Bolsonaro,12
senhor,11
milhão,11
hoje,10
presidente,10
mudar,10
dizer,10
ano,9
modelo,9
muito,9
coisa,9
pedir,9
de,9
mundo,8
vez,8
oportunidade,7
gente,7
governo,7
ensino,7
assim,7
bilhão,7
aqui,7
ir,7
precisar,7
grande,7
questão,7
brasileira,6
padrão,6
corrupção,6
cada,6
renda,6
vacino,6
real,6
contradição,6
econômico,6
família,6
trazer,6
ver,6
ouvir,6
produzir,6
fome,5
cear,5
agradecer,5
projeto,5
financiamento,5
coração,5
povo,5
professor,5
tudo,5
hora,5
filho,5
falar,5
escola,5
Econômica,4
Deus,4
avaliação,4
debate,4
problema,4
portanto,4
qualquer,4
certo,4
número,4
onde,4
tipo,4
ideia,4
irmão,4
governança,4
contra,4
falta,4
pessoal,4
dívida,4
arma,4
grave,4
comer,4
rede,4
lugar,4
juro,4
crescer,4
isso,4
pobre,4
bom,4
tempo,4
digital,4
esse,4
gastar,4
deixar,4
viver,4
nenhum,4
ficar,4
chocar,4
fomer,3
vida,3
pública,3
chegar,3
parecer,3
durante,3
transformar,3
preciso,3
decoreba,3
saúde,3
detalhe,3
infelizmente,3
criança,3
Felipe,3
exemplo,3
verdade,3
olhar,3
pouquinho,3
reconciliar,3
informalidade,3
nunca,3
moral,3
refinanciar,3
país,3
simples,3
nada,3
nascer,3
limite,3
considerar,3
primeiro,3
outro,3
gestão,3
aluno,3
semanal,3
remédio,3
achar,3
crítico,3
transferir,3
conseguir,3
mulher,3
dever,3
pagar,3
aprender,3
vido,2
público,2
dívir,2
perguntar,2
proposta,2
propor,2
comido,2
dinheiro,2
perceber,2
lutar,2
luta,2
debater,2
ilustr,2
indicador,2
pandemia,2
escolar,2
porém,2
entenda,2
agora,2
reforçar,2
promesso,2
Jair,2
maldade,2
atenção,2
indignação,2
simplesmente,2
testa,2
nacional,2
refeição,2
quatro,2
mostrar,2
programa,2
pequeno,2
misério,2
ávila,2
relação,2
fato,2
século,2
sentido,2
pedagogia,2
Estados,2
desastre,2
pensar,2
parte,2
mês,2
empresa,2
entender,2
decente,2
piso,2
salarial,2
magistério,2
