palavra,quantidade
Brasil,61
gente,29
Dinheiro,26
precisar,21
crescer,20
político,18
fazer,18
economia,17
mundo,17
saber,15
agro,14
privado,14
investimento,14
emprego,13
país,13
educação,12
brasileiro,12
grande,12
gerar,12
Estado,11
pública,11
Público,10
portanto,10
mercado,10
exemplo,10
tirar,10
querer,10
esse,10
ano,9
milhão,9
voltar,9
ficar,9
poder,9
de,9
renda,8
hoje,8
pessoa,8
meio,8
ambiente,8
setor,8
forma,8
todo,8
usar,8
governo,7
corrupção,7
candidato,7
atrair,7
estatal,7
em,7
deixar,7
público,6
ir,6
aqui,6
zero,6
sustentável,6
campanha,6
riqueza,6
importante,6
gastar,6
mudar,6
acabar,6
ajudar,6
outro,6
trabalhar,6
precisa,5
brasileira,5
qualidade,5
gestão,5
assim,5
fundamental,5
investir,5
carbono,5
oportunidade,5
questão,5
congresso,5
saneamento,5
dignidade,5
viver,5
novo,5
resolver,5
valor,5
real,5
coisa,5
professor,5
econômico,5
olhar,5
perguntar,5
bom,5
respeitar,5
aprovar,5
vida,4
impor,4
ser,4
votar,4
verdade,4
PT,4
crescimento,4
agronegócio,4
jamais,4
eleitoral,4
bilhão,4
bolso,4
básico,4
chegar,4
abrir,4
conseguir,4
nenhum,4
internacional,4
honrar,4
falar,4
continuar,4
criar,4
acontecer,4
melhorar,4
desperdiçar,4
Educação,3
menos,3
mau,3
problema,3
preciso,3
máquina,3
Felipe,3
cidadão,3
trabalho,3
hora,3
caso,3
zema,3
Ciro,3
agora,3
transformar,3
aluno,3
jovem,3
escola,3
Lula,3
soja,3
reserva,3
preservar,3
nada,3
único,3
competir,3
fundão,3
saúde,3
financiar,3
vergonha,3
privatização,3
costa,3
trabalhamo,3
pesar,3
aproveitar,3
combater,3
caráter,3
governabilidade,3
empreender,3
serviço,3
começar,3
criança,3
existir,3
terra,3
energia,3
tratar,3
manter,3
primeiro,3
gostar,3
potência,3
alimento,3
produzir,3
cumprir,3
aprender,3
lideranço,2
aprendizar,2
democracia,2
fome,2
gera,2
debate,2
geração,2
cortar,2
desperdício,2
péssima,2
governador,2
prefeito,2
adriano,2
Silva,2
Joinville,2
partir,2
produtividade,2
sempre,2
focar,2
carreira,2
completamente,2
ensino,2
profissionalizante,2
então,2
cada,2
depender,2
sequestrar,2
degradar,2
hectare,2
externo,2
recuperar,2
legal,2
enorme,2
exatamente,2
favor,2
último,2
desenvolvimento,2
ver,2
certo,2
comércio,2
