palavra,quantidade
país,41
saber,20
gente,19
governo,19
Brasil,19
fazer,19
pessoa,19
dizer,15
em,14
falar,14
esse,13
poder,13
voltar,11
primeiro,11
querer,11
emprego,10
educação,9
presidente,9
Ciro,9
coisa,9
político,9
indicar,9
de,9
milhão,8
preciso,8
seguinte,8
fizemos,8
ano,8
senhora,8
todo,8
mulher,8
hoje,7
candidata,7
eleição,7
grande,7
universidade,7
respeitar,7
deixar,7
então,6
corte,6
importante,6
presidência,6
mundo,6
segundo,6
sigilo,6
este,6
dois,6
conseguir,6
repúblico,5
contra,5
nenhum,5
exatamente,5
adorar,5
compromisso,5
PT,5
maioria,5
achar,5
ir,5
assumir,5
ganhar,5
perguntar,5
esquecer,5
processo,5
precisar,5
olhar,4
amazônia,4
povo,4
direito,4
questão,4
congresso,4
Gomes,4
aqui,4
absolver,4
inocente,4
possível,4
pobre,4
crescer,4
pequeno,4
destruir,4
acreditar,4
votar,4
único,4
acontecer,4
Suprema,3
deixei,3
informação,3
acesso,3
escolar,3
educacional,3
citar,3
número,3
corrupção,3
tudo,3
bilhão,3
geração,3
aumento,3
salário,3
investimento,3
sequer,3
candidato,3
prazer,3
Paris,3
ninguém,3
nacional,3
efetivamente,3
ainda,3
contar,3
agora,3
instância,3
vez,3
Soraya,3
inflação,3
apenas,3
doméstico,3
mandato,3
dilma,3
dever,3
acompanhar,3
inverdade,3
colocar,3
social,3
acordo,3
participar,3
começar,3
muito,3
ficar,3
conversar,3
governar,3
melhorar,3
ministro,3
federal,3
negro,3
estudar,3
viver,3
resolver,3
passar,3
levar,3
lembrar,3
receber,3
olha,2
todos,2
isso,2
transparêncio,2
noruega,2
cidadanio,2
prender,2
público,2
pública,2
desemprego,2
dívida,2
empregado,2
vida,2
quebra,2
Covid,2
lamentavelmente,2
além,2
convocar,2
reunião,2
momento,2
verdadeiro,2
atraso,2
dinheiro,2
nada,2
televisão,2
investigação,2
portal,2
combate,2
petrobra,2
inclusão,2
revolução,2
cheguei,2
meio,2
efeito,2
desmatamento,2
Alemanha,2
nunca,2
comercial,2
comércio,2
responsabilidade,2
cuidar,2
planeta,2
santo,2
cuidado,2
ambiental,2
sério,2
brasileira,2
verdade,2
Copenhague,2
inteiro,2
manutenção,2
favorável,2
vender,2
irresponsabilidade,2
condição,2
sempre,2
respeito,2
Conosco,2
partido,2
trato,2
coração,2
mole,2
esperar,2
assim,2
filho,2
cidadão,2
liberdade,2
economia,2
criar,2
piso,2
Privilégio,2
rico,2
quebrado,2
reduziu,2
menos,2
bom,2
aumentar,2
trabalhador,2
enquanto,2
Lula,2
jardineiro,2
escravidão,2
Simone,2
explicar,2
senadora,2
total,2
qualquer,2
comeu,2
metade,2
orgulho,2
senado,2
padrão,2
golpe,2
causa,2
obra,2
qual,2
debate,2
estudante,2
médio,2
comprometer,2
outro,2
situação,2
mentiroso,2
ouvir,2
marcar,2
escola,2
conhecer,2
relação,2
internacional,2
existir,2
governante,2
tomar,2
queimar,2
pensar,2
vacinar,2
construir,2
pagar,2
trabalhar,2
gerar,2
reforma,2
tributário,2
remunerar,2
tirar,2
determinar,2
cargo,2
razão,2
milhões,1
coisar,1
primeira,1
república,1
desse,1
suprema,1
supremo,1
deixeir,1
quero,1
disso,1
pergunta,1
pergunto,1
transparência,1
noruego,1
cidadania,1
esquecem,1
preso,1
desempregar,1
dívir,1
volta,1
empregada,1
vido,1
quebrar,1
covid,1
pandemio,1
pandemia,1
governador,1
governadores,1
estado,1
estar,1
mínimo,1
terra,1
terrar,1
histór,1
histório,1
proposta,1
propor,1
bancada,1
bancar,1
aliança,1
aliancer,1
menino,1
Meninos,1
acompanhado,1
crescia,1
crescio,1
podio,1
poderio,1
comida,1
comido,1
participaçãor,1
participação,1
parabenizar,1
manter,1
tradição,1
époco,1
campanha,1
quanta,1
criança,1
algum,1
grau,1
abaixo,1
tipo,1
tabletr,1
computador,1
continar,1
durante,1
aula,1
ensino,1
quantidade,1
evasãor,1
trazer,1
pretendo,1
logo,1
janeiro,1
prefeito,1
capital,1
pacto,1
guerrar,1
aquele,1
peguei,1
quintupliquei,1
orçamento,1
necessário,1
abandonar,1
acaso,1
virio,1
valer,1
pena,1
compensa,1
apurasse,1
claro,1
fiscalização,1
anticorrupção,1
crime,1
organizar,1
lavagem,1
coaf,1
funcionar,1
movimentação,1
bancário,1
atípico,1
gastar,1
indescritível,1
acabamos,1
informar,1
tamanho,1
capitalização,1
agricultura,1
familiar,1
geral,1
empresa,1
criação,1
simples,1
novo,1
campus,1
técnico,1
hectare,1
disponibilizar,1
assentamento,1
tentasse,1
contribuir,1
preservação,1
exploração,1
riqueza,1
biodiversidade,1
garantir,1
possibilidade,1
desenvolvimento,1
quase,1
morar,1
antes,1
Estados,1
Unidos,1
Chile,1
China,1
rùssia,1
índia,1
União,1
europeu,1
fluxo,1
ultrapassar,1
exterior,1
carteira,1
assinar,1
atual,1
bravata,1
entender,1
portanto,1
saudade,1
dignamente,1
cabeça,1
erguer,1
dirigir,1
Felipe,1
ávila,1
discutir,1
climático,1
noção,1
cada,1
cuidir,1
senhor,1
opinião,1
sobre,1
romper,1
discurso,1
desmatar,1
plantar,1
empresário,1
bioma,1
pantanal,1
caatinga,1
entretanto,1
incentivar,1
boiar,1
referendado,1
reduzer,1
diminuir,1
emissão,1
referência,1
decisão,1
mandada,1
significar,1
mentira,1
reivindicar,1
bolsa,1
família,1
auxílio,1
concomitante,1
crescimento,1
econômico,1
oportunidades,1
absurdo,1
eletrobra,1
fatiar,1
petrobrás,1
privatizar,1
responder,1
vacina,1
chegar,1
h1n1,1
mês,1
comanda,1
competência,1
falo,1
profundo,1
grato,1
comigo,1
instante,1
sair,1
candidatura,1
próprio,1
impedir,1
esquerda,1
progressista,1
ganhamos,1
tentar,1
atrair,1
PDT,1
deferência,1
mário,1
covo,1
requião,1
levo,1
língua,1
compreensivo,1
problema,1
essas,1
sentir,1
construída,1
pedir,1
desculpa,1
jogar,1
costa,1
haddad,1
sab,1
Ganhava,1
preço,1
culpar,1
continuar,1
investir,1
espalhar,1
afora,1
prouni,1
periferia,1
negra,1
oportunidade,1
classe,1
alto,1
aliás,1
perfeitamente,1
peru,1
elite,1
preocupar,1
educar,1
metalúrgico,1
diploma,1
obrigar,1
vosso,1
excelência,1
memória,1
tomeir,1
posse,1
externo,1
líquido,1
dentro,1
meta,1
reserva,1
estabilidade,1
jamais,1
obviamente,1
possivelmente,1
botar,1
consertar,1
provei,1
varejista,1
inácio,1
Silva,1
perceber,1
vice,1
atrás,1
eleitor,1
motorista,1
almoçar,1
jantar,1
café,1
entrar,1
conquistar,1
talvez,1
ver,1
legalização,1
verde,1
amarelo,1
descanso,1
semanal,1
férias,1
acabar,1
entregador,1
sentindo,1
cheirar,1
comprar,1
comer,1
legalize,1
transformá,1
empreendedor,1
moto,1
carro,1
bicicleta,1
inteirar,1
século,1
tempo,1
aprender,1
desde,1
movimento,1
sindical,1
tebet,1
extraordinário,1
disser,1
tratamento,1
negligêncio,1
vacino,1
saúde,1
agir,1
forma,1
totalmente,1
irresponsável,1
sociedade,1
brincar,1
doença,1
matar,1
capaz,1
derramar,1
lágrimo,1
morrer,1
ativamente,1
imaginar,1
concordar,1
diferença,1
facilitar,1
polícia,1
contratar,1
policial,1
procurador,1
engavetador,1
abertura,1
onde,1
papel,1
higiênico,1
usar,1
palácio,1
coisinhar,1
cartão,1
corporativo,1
pastel,1
tapiocar,1
provar,1
religioso,1
homem,1
capacidade,1
cármen,1
lúcia,1
numericamente,1
méxico,1
Câmara,1
deputado,1
Deus,1
plenamente,1
obrigatoriamente,1
passarar,1
terminar,1
solidarizar,1
jornalista,1
agredir,1
procurar,1
companheiro,1
experiência,1
paulo,1
ajudar,1
entro,1
campo,1
promessa,1
fácil,1
difícil,1
amigo,1
juro,1
vencer,1
finlândia,1
eduardo,1
Cunha,1
aécio,1
Neves,1
junto,1
preparar,1
culminar,1
desastre,1
sofrer,1
derrubar,1
pedalar,1
derruba,1
cara,1
motociato,1
julgamento,1
histórico,1
tranquilo,1
medíocre,1
humilhar,1
exerce,1
chamar,1
presidiário,1
eleger,1
limpo,1
parente,1
julgar,1
considerar,1
pleno,1
decreto,1
apagar,1
