palavra,quantidade
Brasil,33
mulher,28
ir,26
poder,24
presidente,21
fazer,18
governo,14
querer,14
repúblico,13
corrupção,13
candidato,12
ano,11
falar,11
hoje,10
Soraya,10
educação,10
dizer,10
saber,10
político,9
colocar,9
todo,8
contra,8
precisar,8
Dinheiro,7
então,7
esse,7
defender,7
todos,6
pergunto,6
violêncio,6
famílio,6
Fake,6
News,6
candidata,6
federal,6
brasileira,6
brasileiro,6
saúde,6
pandemia,6
vacino,6
primeiro,6
país,6
escândalo,6
filho,6
ministro,6
ser,6
direito,6
criança,6
candidatura,5
em,5
orçamento,5
secreto,5
senadora,5
grande,5
feminista,5
mesmo,5
exemplo,5
atual,5
emprego,5
aqui,5
pessoo,4
agride,4
gostar,4
renda,4
população,4
lamentavelmente,4
casa,4
cada,4
pobre,4
compromisso,4
dentro,4
ensino,4
ganhar,4
inclusive,4
diferente,4
acontecer,4
forma,4
Bolsonaro,4
assim,4
verdade,4
tiro,4
voltar,4
perder,4
questão,4
problema,4
coisa,4
documento,4
comprar,4
entrar,4
criar,4
jovem,4
acabar,4
algum,4
de,4
pessoa,3
professor,3
professora,3
caso,3
senar,3
tirar,3
Mara,3
momento,3
Supremo,3
judiciário,3
resposta,3
gerar,3
pública,3
atraso,3
dia,3
prematuramente,3
público,3
imediatamente,3
câncer,3
enquanto,3
nunca,3
dúvida,3
ensinar,3
médio,3
tema,3
homem,3
objetivo,3
ódio,3
PT,3
decisão,3
milhão,3
vítima,3
lugar,3
amor,3
Lula,3
reeleição,3
assumir,3
mensalão,3
petrolão,3
quase,3
função,3
importante,3
hospital,3
ficar,3
exame,3
pedir,3
morrer,3
privado,3
atacar,3
dois,3
feminino,3
contar,3
impedir,3
nenhum,3
ferrovia,3
projeto,3
rasgar,3
votar,3
atender,3
sofrer,3
dinheiro,2
perguntar,2
violência,2
vacinar,2
agridir,2
Estado,2
democracia,2
tribunal,2
vacina,2
precisa,2
fome,2
triste,2
partir,2
juntar,2
agradecer,2
imprensa,2
nome,2
debate,2
constituição,2
papel,2
termos,2
ameaçar,2
respeito,2
unir,2
crescer,2
Centro,2
único,2
garantir,2
credibilidade,2
demais,2
pacificar,2
bom,2
negar,2
braço,2
moto,2
vida,2
coordenação,2
cirurgio,2
calamidade,2
tudo,2
bolso,2
onde,2
sequela,2
apenas,2
fundo,2
cirurgia,2
barreto,2
assinar,2
eleita,2
tabela,2
ouvir,2
Simone,2
conclamo,2
dignidade,2
excelência,2
fila,2
sobre,2
prioridade,2
nacional,2
participar,2
eleição,2
diante,2
resolver,2
educar,2
mercado,2
achar,2
sentido,2
alimentar,2
menos,2
concordo,2
bancar,2
divide,2
começar,2
atrás,2
definitivamente,2
dividir,2
ninguém,2
significar,2
jornalista,2
medo,2
fabricar,2
vosso,2
oeste,2
agora,2
bilhão,2
algo,2
trazer,2
reformular,2
contrato,2
trabalho,2
rodízio,2
voto,2
insensibilidade,2
culpa,2
denunciamos,2
posto,2
passado,2
parlamentar,2
descoberto,2
Ministério,2
experiência,2
negro,2
envolver,2
lamentável,2
vice,2
alma,2
mudar,2
democrático,2
ter,2
diferença,2
virar,2
quanto,2
trabalhar,2
decretar,2
chegar,2
atrasar,2
executar,2
pagar,2
concordar,2
médico,2
administrativo,2
cuidar,2
muito,2
vir,2
deputado,2
parar,2
respeitar,2
pensar,2
combater,2
tentar,2
esquema,2
investimento,2
barato,2
tornar,2
divulgar,2
dólar,2
apoiar,2
república,1
pergunta,1
família,1
fake,1
news,1
primeira,1
sabe,1
gostaria,1
cas,1
estado,1
estar,1
senado,1
maro,1
democracio,1
Tribunal,1
Público,1
fomer,1
quer,1
tristar,1
partido,1
juntas,1
ameaço,1
respeita,1
advogado,1
advogar,1
compr,1
quanta,1
quantas,1
Hospital,1
possar,1
possa,1
Rico,1
rico,1
senhora,1
senhor,1
caro,1
car,1
história,1
histório,1
comida,1
comido,1
competência,1
competêncio,1
prefeitar,1
prefeita,1
nísia,1
nísio,1
tentativa,1
tentativo,1
quebrou,1
quebrar,1
envolvido,1
miséria,1
misério,1
permitir,1
antes,1
nada,1
band,1
fortalecer,1
cumprimentar,1
acompanhar,1
simples,1
harmonia,1
depender,1
excessivamente,1
cumprir,1
radicalização,1
desarmoniar,1
valor,1
livre,1
independência,1
legislativo,1
trocar,1
União,1
MDB,1
psdb,1
cidadania,1
reposicionar,1
capaz,1
previsibilidade,1
seguranço,1
jurídico,1
hora,1
judicializar,1
consequentemente,1
exceder,1
obrigado,1
afinal,1
acabamos,1
sair,1
saímos,1
gerido,1
sensível,1
alheia,1
costa,1
enlutar,1
estudei,1
mães,1
pai,1
pegar,1
abraço,1
custar,1
aspecto,1
arrastar,1
resolvir,1
estaríamos,1
extremamente,1
realização,1
consulto,1
jeito,1
gastar,1
classe,1
Emergência,1
crédito,1
extraordinário,1
colocarmos,1
município,1
Estados,1
consulta,1
doença,1
Covid,1
depoimento,1
peguei,1
carro,1
Paulo,1
cura,1
inveja,1
mundo,1
súplica,1
atualizar,1
santa,1
filantrópico,1
médias,1
alto,1
complexidade,1
complicado,1
especialista,1
morr,1
acesso,1
porta,1
tratamento,1
preventivo,1
conseguir,1
defasar,1
assinem,1
desperdício,1
reduzir,1
máquina,1
atendimento,1
aula,1
administrar,1
privilégio,1
excelente,1
aluna,1
infelizmente,1
indicador,1
patamar,1
estampar,1
página,1
policial,1
descaso,1
superfaturamento,1
ônibus,1
escolar,1
fotografia,1
bíblia,1
dignificar,1
valorização,1
fundamental,1
desde,1
infância,1
creche,1
paralisar,1
fundeb,1
dobrar,1
teto,1
infantil,1
técnico,1
profissionalizante,1
estudar,1
poupança,1
final,1
quiser,1
entrada,1
celular,1
saia,1
salva,1
thaís,1
tratar,1
assunto,1
lado,1
esquerdo,1
direita,1
capitanear,1
pauta,1
elogio,1
comigo,1
olhar,1
barraca,1
lonar,1
praça,1
seio,1
pouco,1
resto,1
velho,1
Defendemos,1
igualdade,1
salarial,1
aprovamos,1
gavetar,1
Câmara,1
possível,1
majoritariamente,1
maioria,1
colégio,1
eleitoral,1
atividade,1
produção,1
ganharmos,1
negra,1
receber,1
colocação,1
atuante,1
arrumar,1
chegue,1
mesa,1
domingo,1
confusão,1
essência,1
vivência,1
ampliar,1
ponto,1
comissão,1
inimaginável,1
ver,1
concreto,1
constatação,1
registro,1
preciso,1
deixar,1
entender,1
tipo,1
parte,1
armar,1
fogo,1
companheiro,1
jurar,1
proteger,1
grave,1
pedofilia,1
estupro,1
abuso,1
sexual,1
isso,1
tolerância,1
zero,1
cadeia,1
adolescente,1
desrespeita,1
mentira,1
robôs,1
amedrontar,1
posicionamento,1
cortado,1
editar,1
justificar,1
congresso,1
rodrigo,1
pacheco,1
investigação,1
governadores,1
justificativa,1
inverdade,1
recebi,1
chamar,1
descontrolar,1
outro,1
dedo,1
pior,1
intimidar,1
denunciei,1
