palavra,quantidade
Brasil,33
vamos,25
presidente,21
mulheres,17
fazer,16
república,14
corrupção,13
governo,13
anos,11
mulher,11
hoje,10
Soraya,10
educação,10
quero,10
todos,9
dinheiro,9
dizer,9
poder,8
política,8
pergunta,8
contra,8
violência,8
candidato,8
famílias,7
então,7
fake,7
news,7
candidata,6
federal,6
brasileira,6
saúde,6
pandemia,6
vacina,6
colocar,6
primeira,6
sabe,6
pessoas,6
país,6
falando,6
agride,6
precisamos,5
candidatura,5
escândalo,5
nesse,5
orçamento,5
secreto,5
gostaria,5
senadora,5
maior,5
feminista,5
mesma,5
exemplo,5
atual,5
candidatos,4
emprego,4
renda,4
população,4
professora,4
lamentavelmente,4
filhos,4
casa,4
estado,4
cada,4
pobre,4
compromisso,4
ministro,4
dentro,4
ensino,4
ganhar,4
aqui,4
inclusive,4
senado,4
sendo,4
diferente,4
acontece,4
forma,4
Bolsonaro,4
assim,4
verdade,4
tira,4
mara,4
democracia,3
poderes,3
todo,3
momento,3
supremo,3
tribunal,3
judiciário,3
resposta,3
voltar,3
gerar,3
podemos,3
pública,3
brasileiras,3
atraso,3
dias,3
vacinas,3
perderam,3
prematuramente,3
público,3
imediatamente,3
câncer,3
precisa,3
pode,3
enquanto,3
questão,3
direito,3
nunca,3
problema,3
crianças,3
dúvida,3
ensinar,3
médio,3
tema,3
defender,3
criança,3
fome,3
homens,3
objetiva,3
ódio,3
PT,3
fala,3
quer,3
direitos,3
triste,3
decisão,3
milhões,3
defendeu,3
vítima,3
lugar,3
coisa,3
amor,3
Lula,3
reeleição,3
assumir,3
mensalão,3
petrolão,3
quase,3
partido,3
juntas,3
agradecer,2
imprensa,2
nome,2
debate,2
constituição,2
papel,2
função,2
termos,2
ameaça,2
respeita,2
unir,2
crescer,2
centro,2
única,2
garantir,2
credibilidade,2
advogada,2
demais,2
pacificar,2
importantes,2
melhor,2
negou,2
braço,2
brasileiros,2
documentos,2
compra,2
quantas,2
moto,2
entrar,2
hospital,2
filho,2
vida,2
pudesse,2
coordenação,2
ficamos,2
exames,2
cirurgias,2
calamidade,2
tudo,2
bolso,2
onde,2
sabemos,2
sequela,2
apenas,2
possamos,2
criar,2
fundo,2
cirurgia,2
pedido,2
barretos,2
assinar,2
documento,2
hospitais,2
eleita,2
tabela,2
casas,2
ouvi,2
Simone,2
morre,2
conclamo,2
tirar,2
dignidade,2
rico,2
privada,2
excelência,2
filas,2
sobre,2
senhora,2
cara,2
prioridade,2
nacional,2
participar,2
eleição,2
diante,2
resolver,2
jovens,2
professor,2
educar,2
atacar,2
acabar,2
duas,2
todas,2
mercado,2
jovem,2
história,2
acho,2
sentido,2
alimentando,2
comida,2
competência,2
menos,2
concordo,2
bancada,2
feminina,2
divide,2
começou,2
atrás,2
definitivamente,2
dividindo,2
ninguém,2
prefeita,2
significa,2
jornalistas,2
conta,2
medo,2
fabrica,2
ministros,2
impedir,2
falar,2
vossa,2
comprar,2
nenhuma,2
ferrovia,2
oeste,2
projetos,2
agora,2
rasgar,2
bilhões,2
algo,2
trazer,2
reformular,2
votou,2
contrato,2
trabalho,2
rodízio,2
nísia,2
voto,2
alguma,2
insensibilidade,2
culpa,2
tentativa,2
denunciamos,2
posto,2
passado,2
parlamentares,2
descoberto,2
quebrou,2
ministério,2
experiência,2
negros,2
envolvido,2
lamentável,2
miséria,2
vice,2
alma,2
mudar,2
permitam,1
antes,1
nada,1
band,1
fortalece,1
cumprimentar,1
acompanhando,1
simples,1
harmonia,1
depende,1
excessivamente,1
saiba,1
cumprir,1
radicalização,1
desarmonia,1
valores,1
democráticos,1
livre,1
independência,1
legislativo,1
trocar,1
união,1
democrático,1
MDB,1
psdb,1
cidadania,1
reposicionar,1
capaz,1
previsibilidade,1
segurança,1
jurídica,1
respeito,1
hora,1
terem,1
funções,1
judicializando,1
consequentemente,1
acaba,1
excedendo,1
diferença,1
obrigada,1
afinal,1
questões,1
acabamos,1
sair,1
saímos,1
podia,1
